slice_path,target,volume,slice,label0_pxl_cnt,label1_pxl_cnt,label2_pxl_cnt,background_ratio
../input/brats2020-training-data/BraTS2020_training_data/content/data/volume_41_slice_0.h5,0,41,0,0,0,0,1.0
../input/brats2020-training-data/BraTS2020_training_data/content/data/volume_41_slice_1.h5,0,41,1,0,0,0,1.0
../input/brats2020-training-data/BraTS2020_training_data/content/data/volume_41_slice_2.h5,0,41,2,0,0,0,1.0
../input/brats2020-training-data/BraTS2020_training_data/content/data/volume_41_slice_3.h5,0,41,3,0,0,0,1.0
../input/brats2020-training-data/BraTS2020_training_data/content/data/volume_41_slice_4.h5,0,41,4,0,0,0,1.0
../input/brats2020-training-data/BraTS2020_training_data/content/data/volume_41_slice_5.h5,0,41,5,0,0,0,1.0
../input/brats2020-training-data/BraTS2020_training_data/content/data/volume_41_slice_6.h5,0,41,6,0,0,0,1.0
../input/brats2020-training-data/BraTS2020_training_data/content/data/volume_41_slice_7.h5,0,41,7,0,0,0,1.0
../input/brats2020-training-data/BraTS2020_training_data/content/data/volume_41_slice_8.h5,0,41,8,0,0,0,1.0
../input/brats2020-training-data/BraTS2020_training_data/content/data/volume_41_slice_9.h5,0,41,9,0,0,0,1.0
../input/brats2020-training-data/BraTS2020_training_data/content/data/volume_41_slice_10.h5,0,41,10,0,0,0,1.0
../input/brats2020-training-data/BraTS2020_training_data/content/data/volume_41_slice_11.h5,0,41,11,0,0,0,1.0
../input/brats2020-training-data/BraTS2020_training_data/content/data/volume_41_slice_12.h5,0,41,12,0,0,0,1.0
../input/brats2020-training-data/BraTS2020_training_data/content/data/volume_41_slice_13.h5,0,41,13,0,0,0,1.0
../input/brats2020-training-data/BraTS2020_training_data/content/data/volume_41_slice_14.h5,0,41,14,0,0,0,1.0
../input/brats2020-training-data/BraTS2020_training_data/content/data/volume_41_slice_15.h5,0,41,15,0,0,0,1.0
../input/brats2020-training-data/BraTS2020_training_data/content/data/volume_41_slice_16.h5,0,41,16,0,0,0,1.0
../input/brats2020-training-data/BraTS2020_training_data/content/data/volume_41_slice_17.h5,0,41,17,0,0,0,1.0
../input/brats2020-training-data/BraTS2020_training_data/content/data/volume_41_slice_18.h5,0,41,18,0,0,0,1.0
../input/brats2020-training-data/BraTS2020_training_data/content/data/volume_41_slice_19.h5,0,41,19,0,0,0,1.0
../input/brats2020-training-data/BraTS2020_training_data/content/data/volume_41_slice_20.h5,0,41,20,0,0,0,1.0
../input/brats2020-training-data/BraTS2020_training_data/content/data/volume_41_slice_21.h5,0,41,21,0,0,0,1.0
../input/brats2020-training-data/BraTS2020_training_data/content/data/volume_41_slice_22.h5,0,41,22,0,0,0,1.0
../input/brats2020-training-data/BraTS2020_training_data/content/data/volume_41_slice_23.h5,0,41,23,0,0,0,1.0
../input/brats2020-training-data/BraTS2020_training_data/content/data/volume_41_slice_24.h5,0,41,24,0,0,0,1.0
../input/brats2020-training-data/BraTS2020_training_data/content/data/volume_41_slice_25.h5,1,41,25,0,0,5,0.9999131944444444
../input/brats2020-training-data/BraTS2020_training_data/content/data/volume_41_slice_26.h5,1,41,26,3,0,41,0.9992361111111112
../input/brats2020-training-data/BraTS2020_training_data/content/data/volume_41_slice_27.h5,1,41,27,63,0,96,0.9972395833333332
../input/brats2020-training-data/BraTS2020_training_data/content/data/volume_41_slice_28.h5,1,41,28,127,0,136,0.9954340277777778
../input/brats2020-training-data/BraTS2020_training_data/content/data/volume_41_slice_29.h5,1,41,29,183,0,169,0.9938888888888888
../input/brats2020-training-data/BraTS2020_training_data/content/data/volume_41_slice_30.h5,1,41,30,255,0,178,0.9924826388888888
../input/brats2020-training-data/BraTS2020_training_data/content/data/volume_41_slice_31.h5,1,41,31,350,2,164,0.9910416666666668
../input/brats2020-training-data/BraTS2020_training_data/content/data/volume_41_slice_32.h5,1,41,32,387,18,198,0.98953125
